Fri Jan 10 15:49:34 2014    profiling/game.run.profile

         8844407 function calls (8839797 primitive calls) in 26.332 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       57    0.000    0.000    0.015    0.000 /usr/lib/python2.7/sre_compile.py:480(_code)
      212    0.003    0.000    0.014    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:386(recache)
       57    0.000    0.000    0.014    0.000 /usr/lib/python2.7/sre_parse.py:663(parse)
     1079    0.014    0.000    0.014    0.000 {pygame.transform.rotate}
      150    0.001    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:467(set_clip_path)
   203/57    0.001    0.000    0.013    0.000 /usr/lib/python2.7/sre_parse.py:301(_parse_sub)
   298/62    0.005    0.000    0.013    0.000 /usr/lib/python2.7/sre_parse.py:379(_parse)
        4    0.000    0.000    0.013    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:923(_update_ticks)
       70    0.000    0.000    0.013    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:167(set_clip_path)
    23296    0.013    0.000    0.013    0.000 {min}
       34    0.000    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:874(iter_ticks)
        1    0.000    0.000    0.012    0.012 /usr/lib/python2.7/tokenize.py:23(<module>)
       68    0.001    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:173(get_text_width_height_descent)
    36085    0.012    0.000    0.012    0.000 {isinstance}
       29    0.000    0.000    0.012    0.000 {map}
   570/57    0.003    0.000    0.012    0.000 /usr/lib/python2.7/sre_compile.py:32(_compile)
     2965    0.005    0.000    0.012    0.000 code/objInstances.py:425(update)
     1505    0.012    0.000    0.012    0.000 {pygame.event.get}
     3780    0.004    0.000    0.012    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1321(__init__)
      125    0.000    0.000    0.011    0.000 code/objInstances.py:363(__init__)
        1    0.000    0.000    0.011    0.011 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:379(__init__)
        1    0.000    0.000    0.011    0.011 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:656(__init__)
        1    0.000    0.000    0.011    0.011 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:2397(__init__)
     4732    0.006    0.000    0.011    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:80(__init__)
        1    0.000    0.000    0.011    0.011 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:700(_init_toolbar)
       11    0.000    0.000    0.011    0.001 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1212(kwdoc)
       10    0.000    0.000    0.011    0.001 /usr/lib/python2.7/lib-tk/Tkinter.py:1986(__init__)
        7    0.000    0.000    0.011    0.002 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:691(_Button)
     2503    0.011    0.000    0.011    0.000 {method 'all' of 'numpy.ndarray' objects}
     3044    0.004    0.000    0.011    0.000 code/physicalObject.py:530(setLeadIndicator)
        1    0.010    0.010    0.011    0.011 /usr/lib/python2.7/subprocess.py:389(<module>)
     3044    0.008    0.000    0.010    0.000 code/ship.py:329(cooldown)
      152    0.000    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:647(get_path)
      102    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:224(_get_agg_font)
        4    0.000    0.000    0.010    0.003 /usr/lib/pymodules/python2.7/matplotlib/axis.py:608(__init__)
      240    0.001    0.000    0.010    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:576(_set_tickright)
        7    0.000    0.000    0.010    0.001 /usr/lib/python2.7/lib-tk/Tkinter.py:2052(__init__)
   111753    0.010    0.000    0.010    0.000 {method 'random' of '_random.Random' objects}
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:21(<module>)
      240    0.001    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/markers.py:570(_set_tickleft)
      298    0.009    0.000    0.009    0.000 {method 'convert' of 'pygame.Surface' objects}
105561/104328    0.009    0.000    0.009    0.000 {len}
     17/9    0.000    0.000    0.009    0.001 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:252(wrapper)
        4    0.000    0.000    0.009    0.002 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:454(_get_configdir)
        1    0.001    0.001    0.009    0.009 /usr/lib/pymodules/python2.7/matplotlib/text.py:3(<module>)
       34    0.001    0.000    0.009    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:149(draw_text)
