Fri Jan 10 15:43:55 2014    profiling/game.run.profile

         8189053 function calls (8184595 primitive calls) in 25.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  606/250    0.001    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:565(get_xaxis_transform)
        1    0.000    0.000    0.017    0.017 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:178(__init__)
        1    0.000    0.000    0.017    0.017 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1626(BoxStyle)
     3538    0.007    0.000    0.017    0.000 code/physicalObject.py:307(turnTowards)
       66    0.000    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:405(_get_gridline)
        8    0.000    0.000    0.016    0.002 /usr/lib/pymodules/python2.7/matplotlib/spines.py:142(register_axis)
      138    0.001    0.000    0.016    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:908(update_from)
        1    0.000    0.000    0.016    0.016 /usr/lib/python2.7/inspect.py:25(<module>)
     1078    0.016    0.000    0.016    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
     4006    0.003    0.000    0.016    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:167(asarray)
       57    0.000    0.000    0.015    0.000 /usr/lib/python2.7/sre_compile.py:480(_code)
      142    0.001    0.000    0.015    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:467(set_clip_path)
        1    0.000    0.000    0.014    0.014 /usr/lib/python2.7/lib-tk/Tkinter.py:2223(create_image)
        1    0.000    0.000    0.014    0.014 /usr/lib/python2.7/lib-tk/Tkinter.py:2206(_create)
       36    0.001    0.000    0.014    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:514(draw)
       57    0.000    0.000    0.014    0.000 /usr/lib/python2.7/sre_parse.py:663(parse)
    18781    0.014    0.000    0.014    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:112(__init__)
     1078    0.014    0.000    0.014    0.000 {pygame.transform.rotate}
       66    0.000    0.000    0.014    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:167(set_clip_path)
