Tue Jan 14 15:00:07 2014    profiling/game.run.profile

         9249270 function calls (9244660 primitive calls) in 26.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.025    0.025 /usr/lib/pymodules/python2.7/matplotlib/rcsetup.py:14(<module>)
       62    0.002    0.000    0.025    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:463(draw)
   180297    0.025    0.000    0.025    0.000 {isinstance}
    66/58    0.000    0.000    0.025    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:374(_get_tick1line)
    66/58    0.000    0.000    0.024    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:389(_get_tick2line)
      452    0.000    0.000    0.023    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:305(set_fillstyle)
        4    0.000    0.000    0.022    0.006 /usr/lib/pymodules/python2.7/matplotlib/axis.py:982(_get_tick_bboxes)
       64    0.003    0.000    0.022    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:264(_get_layout)
       30    0.000    0.000    0.022    0.001 /usr/lib/pymodules/python2.7/matplotlib/text.py:713(get_window_extent)
        1    0.001    0.001    0.022    0.022 /usr/lib/pymodules/python2.7/matplotlib/fontconfig_pattern.py:7(<module>)
       84    0.001    0.000    0.021    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:540(_get_gridline)
        2    0.000    0.000    0.021    0.011 code/hudHelpers.py:77(populateSpace)
       54    0.000    0.000    0.021    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:1153(_copy_tick_props)
        1    0.001    0.001    0.020    0.020 /usr/lib/pymodules/python2.7/matplotlib/patches.py:3(<module>)
        1    0.000    0.000    0.020    0.020 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:178(__init__)
    25613    0.020    0.000    0.020    0.000 {min}
     1504    0.003    0.000    0.019    0.000 code/player.py:167(update)
      162    0.001    0.000    0.019    0.000 /usr/lib/pymodules/python2.7/matplotlib/lines.py:908(update_from)
   212080    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
     17/9    0.000    0.000    0.019    0.002 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:252(wrapper)
        1    0.001    0.001    0.019    0.019 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:59(<module>)
        4    0.000    0.000    0.019    0.005 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:454(_get_configdir)
        4    0.000    0.000    0.018    0.005 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:173(_is_writable_dir)
        1    0.000    0.000    0.018    0.018 /usr/lib/python2.7/lib-tk/Tkinter.py:2223(create_image)
        1    0.000    0.000    0.018    0.018 /usr/lib/python2.7/lib-tk/Tkinter.py:2206(_create)
     2926    0.009    0.000    0.018    0.000 code/physicalObject.py:370(getRecommendedVector)
     2307    0.018    0.000    0.018    0.000 {pygame.transform.rotate}
  768/340    0.001    0.000    0.018    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:642(get_yaxis_transform)
  606/250    0.001    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/matplotlib/axes.py:565(get_xaxis_transform)
     2307    0.017    0.000    0.017    0.000 {method 'convert_alpha' of 'pygame.Surface' objects}
        6    0.001    0.000    0.017    0.003 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1532(_pprint_styles)
     3791    0.008    0.000    0.017    0.000 code/physicalObject.py:324(collisionAvoidance)
     4294    0.003    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:167(asarray)
    58624    0.017    0.000    0.017    0.000 code/game.py:613(<lambda>)
        8    0.000    0.000    0.017    0.002 /usr/lib/pymodules/python2.7/matplotlib/spines.py:142(register_axis)
       66    0.000    0.000    0.017    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:405(_get_gridline)
        1    0.000    0.000    0.017    0.017 /usr/lib/pymodules/python2.7/matplotlib/patches.py:1626(BoxStyle)
        4    0.000    0.000    0.016    0.004 /usr/lib/python2.7/tempfile.py:464(TemporaryFile)
     2106    0.010    0.000    0.016    0.000 code/objInstances.py:514(draw)
    58043    0.016    0.000    0.016    0.000 code/game.py:528(<lambda>)
        2    0.000    0.000    0.016    0.008 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:560(matplotlib_fname)
        1    0.000    0.000    0.016    0.016 /usr/lib/python2.7/inspect.py:25(<module>)
