         44911 function calls (44479 primitive calls) in 4.225 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      292    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      412    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       24    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       26    0.000    0.000    0.000    0.000 core.py:816(__init__)
        9    0.000    0.000    0.000    0.000 extras.py:239(__init__)
       60    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
       53    0.000    0.000    0.000    0.000 pkg_resources.py:1883(yield_lines)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
      319    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       40    0.000    0.000    0.000    0.000 random.py:237(randint)
       10    0.000    0.000    0.000    0.000 pkg_resources.py:1842(file_ns_handler)
        1    0.000    0.000    0.000    0.000 pkgdata.py:34(getResource)
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
      220    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
      278    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
      172    0.000    0.000    0.000    0.000 posixpath.py:59(isabs)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        8    0.000    0.000    0.000    0.000 core.py:7119(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
      134    0.000    0.000    0.000    0.000 stat.py:40(S_ISDIR)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
        1    0.000    0.000    0.000    0.000 {pygame.time.Clock}
        8    0.000    0.000    0.000    0.000 core.py:7124(getdoc)
       40    0.000    0.000    0.000    0.000 random.py:173(randrange)
       55    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
      260    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
      467    0.000    0.000    0.000    0.000 stat.py:24(S_IFMT)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
      740    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 <string>:1(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       42    0.000    0.000    0.000    0.000 pkgutil.py:366(get_importer)
       21    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 core.py:2465(MaskedIterator)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:206(get_provider)
      163    0.000    0.000    0.000    0.000 {range}
       38    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       57    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2175(version)
       18    0.000    0.000    0.000    0.000 core.py:900(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       20    0.000    0.000    0.000    0.000 {posix.access}
        1    0.000    0.000    0.000    0.000 numerictypes.py:284(_add_types)
       21    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
      121    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:891(resource_exists)
        1    0.000    0.000    0.000    0.000 core.py:2568(MaskedArray)
      148    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 pkgutil.py:243(load_module)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1277(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:768(__init__)
       58    0.000    0.000    0.000    0.000 pkg_resources.py:503(__iter__)
      145    0.000    0.000    0.000    0.000 collections.py:328(<genexpr>)
        1    0.000    0.000    0.000    0.000 {imp.load_module}
        2    0.000    0.000    0.000    0.000 random.py:100(seed)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
       36    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:907(resource_stream)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
      252    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 random.py:91(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:341(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       13    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
       86    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:1695(chararray)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        2    0.000    0.000    0.000    0.000 pkg_resources.py:1281(_setup_prefix)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
       21    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 threading.py:436(__init__)
       21    0.000    0.000    0.000    0.000 collections.py:354(<genexpr>)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
       37    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
       42    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        3    0.000    0.000    0.000    0.000 result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 colordict.py:21(<module>)
       55    0.000    0.000    0.000    0.000 utils.py:108(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1535(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
       47    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
       37    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2690(_initialize)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1527(get_metadata)
        1    0.000    0.000    0.000    0.000 util.py:16(get_platform)
       74    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
       21    0.000    0.000    0.000    0.000 collections.py:352(<genexpr>)
        1    0.000    0.000    0.000    0.000 {pygame.event.get}
       57    0.000    0.000    0.000    0.000 pkg_resources.py:703(_added_new)
        1    0.000    0.000    0.000    0.000 _internal.py:239(_getintp_ctype)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
       24    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      112    0.000    0.000    0.000    0.000 pkg_resources.py:1524(has_metadata)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1047(__init__)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 dep_util.py:5(<module>)
        2    0.000    0.000    0.000    0.000 {function seed at 0x26d5668}
        2    0.000    0.000    0.000    0.000 threading.py:181(Condition)
       62    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 nosetester.py:109(NoseTester)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       12    0.000    0.000    0.000    0.000 posixpath.py:89(split)
       68    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
        1    0.000    0.000    0.000    0.000 threading.py:364(Event)
      170    0.000    0.000    0.000    0.000 {ord}
        3    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
      114    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 threading.py:186(__init__)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 compat.py:21(get_BytesIO)
        1    0.000    0.000    0.000    0.000 pkg_resources.py:2092(Distribution)
       60    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
       59    0.000    0.000    0.000    0.000 {imp.acquire_lock}
        9    0.000    0.000    0.000    0.000 core.py:2424(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:371(__init__)
       14    0.000    0.000    0.000    0.000 numerictypes.py:184(english_capitalize)
       31    0.000    0.000    0.000    0.000 _inspect.py:37(iscode)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 pkg_resources.py:1191(has_resource)
        3    0.000    0.000    0.000    0.000 nosetester.py:82(_docmethod)
        2    0.000    0.000    0.000    0.000 getlimits.py:234(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:382(_set_up_aliases)
